NO.,Time,ms,mV,mV.1
518,2021/05/19 13:45:26,0,16.11,6.85
519,2021/05/19 13:45:36,0,16.08,6.85
520,2021/05/19 13:45:46,0,16.09,6.84
521,2021/05/19 13:45:56,0,16.09,6.84
522,2021/05/19 13:46:06,0,16.07,6.85
523,2021/05/19 13:46:16,0,16.06,6.84
524,2021/05/19 13:46:26,0,16.07,6.84
525,2021/05/19 13:46:36,0,16.09,6.85
526,2021/05/19 13:46:46,0,16.06,6.83
527,2021/05/19 13:46:56,0,16.06,6.84
528,2021/05/19 13:47:06,0,16.07,6.83
529,2021/05/19 13:47:16,0,16.08,6.83
530,2021/05/19 13:47:26,0,16.11,6.82
531,2021/05/19 13:47:36,0,16.07,6.82
532,2021/05/19 13:47:46,0,16.07,6.82
533,2021/05/19 13:47:56,0,16.07,6.82
534,2021/05/19 13:48:06,0,16.08,6.82
535,2021/05/19 13:48:16,0,16.08,6.82
536,2021/05/19 13:48:26,0,16.08,6.81
537,2021/05/19 13:48:36,0,16.07,6.81
538,2021/05/19 13:48:46,0,16.06,6.8
539,2021/05/19 13:48:56,0,16.02,6.77
540,2021/05/19 13:49:06,0,16.02,6.78
541,2021/05/19 13:49:16,0,16.02,6.78
542,2021/05/19 13:49:26,0,16.02,6.79
543,2021/05/19 13:49:36,0,16.03,6.79
544,2021/05/19 13:49:46,0,16.04,6.8
545,2021/05/19 13:49:56,0,16.05,6.8
546,2021/05/19 13:50:06,0,16.05,6.82
547,2021/05/19 13:50:16,0,16.05,6.82
548,2021/05/19 13:50:26,0,16.02,6.8
549,2021/05/19 13:50:36,0,15.99,6.79
550,2021/05/19 13:50:46,0,15.98,6.79
551,2021/05/19 13:50:56,0,15.95,6.77
552,2021/05/19 13:51:06,0,15.95,6.76
553,2021/05/19 13:51:16,0,15.95,6.76
554,2021/05/19 13:51:26,0,15.96,6.76
555,2021/05/19 13:51:36,0,15.93,6.76
556,2021/05/19 13:51:46,0,15.92,6.75
